"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,14,"control"
2,150,-1,0,0,0,0,0,0,0,14,"control"
3,150,-1,0,0,0,0,0,0,0,14,"control"
4,150,-1,0,0,0,0,0,0,0,14,"control"
5,150,-1,0,0,0,0,0,0,0,14,"control"
6,150,-1,0,0,0,0,0,0,0,14,"control"
7,150,-1,0,0,0,0,0,0,0,14,"control"
8,150,-1,0,0,0,0,0,0,0,14,"control"
9,150,-1,0,0,0,0,0,0,0,14,"control"
10,150,-1,0,0,0,0,0,0,0,14,"control"
11,150,-1,0,0,0,0,0,0,0,14,"control"
12,150,-1,0,0,0,0,0,0,0,14,"control"
13,150,-1,0,0,0,0,0,0,0,14,"control"
14,150,-1,0,0,0,0,0,0,0,14,"control"
15,150,-1,0,0,0,0,0,0,0,14,"control"
16,150,-1,0,0,0,0,0,0,0,14,"control"
17,150,-1,0,0,0,0,0,0,0,14,"control"
18,150,-1,0,0,0,0,0,0,0,14,"control"
19,150,-1,0,0,0,0,0,0,0,14,"control"
20,150,-1,0,0,0,0,0,0,0,14,"control"
21,150,-1,0,0,0,0,0,0,0,14,"control"
22,150,-1,0,0,0,0,0,0,0,14,"control"
23,150,-1,0,0,0,0,0,0,0,14,"control"
24,150,-1,0,0,0,0,0,0,0,14,"control"
25,150,-1,0,0,0,0,0,0,0,14,"control"
1,150,0,125.813333333333,126,123,129,118,133,4.96212049642379,14,"control"
2,150,0,106.646666666667,107,104,109,99,114.55,4.53196946189837,14,"control"
3,150,0,138.066666666667,138,136.25,140,132,145,3.63920978712692,14,"control"
4,150,0,110.833333333333,110.5,107,114,102.45,121,5.84637404597573,14,"control"
5,150,0,123.186666666667,123,121,126,116.45,129,4.16986096796644,14,"control"
6,150,0,96.3533333333333,96,93,99,86,106,6.3712195440706,14,"control"
7,150,0,132.126666666667,132,129,135,125,139.55,4.69084023421266,14,"control"
8,150,0,116.14,116,114,119,109,122.55,3.92894951549419,14,"control"
9,150,0,145.706666666667,146,143,148,140,151.55,3.87479666782687,14,"control"
10,150,0,146.786666666667,147,143,151,136.45,157,6.10708320922392,14,"control"
11,150,0,108.42,108,106,110,103.45,115,4.15839088652097,14,"control"
12,150,0,97,98,94.25,100,88,103,4.6674655755912,14,"control"
13,150,0,141.513333333333,141,138,144.75,135,149.55,4.79616270926881,14,"control"
14,150,0,110.553333333333,111,108.25,113,105,116,3.76050950900776,14,"control"
15,150,0,118.16,118.5,114,122,108.45,128.55,6.03688883827072,14,"control"
16,150,0,136.186666666667,136,133,139,130,143,4.20033023097197,14,"control"
17,150,0,104.213333333333,104,99,109,92.45,117,7.17619729426832,14,"control"
18,150,0,111.406666666667,112,109,114,102.45,119,5.11491655500393,14,"control"
19,150,0,106.553333333333,108,102,111,92.45,117,7.29395876406644,14,"control"
20,150,0,140.706666666667,140,137,144.75,133,149,5.51817821638088,14,"control"
21,150,0,91.5466666666667,92,89,94,83.45,99.55,5.25023063305068,14,"control"
22,150,0,124.466666666667,125.5,121,130,108.45,136,8.89586787921138,14,"control"
23,150,0,117.486666666667,117.5,115,120,111.45,123,3.83508470836798,14,"control"
24,150,0,94.3,94,91,97,86.45,104,6.54745198659589,14,"control"
25,150,0,135.966666666667,135,133,139,129,143.55,4.52349076268422,14,"control"
1,176,1,125.039772727273,125,122,128,115,136,5.57377614544041,14,"control"
2,264,1,106.515151515152,107,104,109,97.15,113,4.70172664422677,14,"control"
3,296,1,138.097972972973,138,136,140,133,144,3.54446753610769,14,"control"
4,58,1,111.01724137931,110.5,107,115,103.85,119,5.6366326245572,14,"control"
5,10,1,124.9,124.5,122.25,126.75,119,132.4,4.95423500093046,14,"control"
6,196,1,96.3367346938775,96,93,100,86,109,6.43618596654248,14,"control"
7,300,1,132.516666666667,133,130,135,126,139,4.26501544483775,14,"control"
8,280,1,115.653571428571,116,113,119,106.95,122,4.55291329340295,14,"control"
9,206,1,145.402912621359,145,143,148,139,153,4.17048763156188,14,"control"
10,62,1,145.435483870968,145,143,148.75,138.05,154.95,4.93771357368987,14,"control"
11,296,1,108.439189189189,108,106,110,103,115,3.82361325494723,14,"control"
12,134,1,98.1567164179104,98,96,101,92,105,4.03342142419336,14,"control"
13,300,1,140.136666666667,140,137,143,133,149,4.77290172310482,14,"control"
14,18,1,112.666666666667,113,110.25,114.75,104.7,119.05,4.89897948556636,14,"control"
15,300,1,118.643333333333,118,114,122.25,109,131,7.05658843611732,14,"control"
16,290,1,136.393103448276,136,133,139,131,143,3.94652236509421,14,"control"
17,260,1,104.530769230769,104,100.75,109,94,116.05,6.87526871251734,14,"control"
18,264,1,110.965909090909,111,108,113.25,104,117,4.17702077951075,14,"control"
19,108,1,106.888888888889,107.5,104,111,94.35,116.65,7.2050518794572,14,"control"
20,240,1,141.45,141,137,144,132,153,6.30646875177819,14,"control"
21,292,1,91.7945205479452,92,89,95,84,99,4.72824053239917,14,"control"
22,226,1,124.933628318584,126,122,130,112,134.75,7.4278767490459,14,"control"
23,280,1,117.928571428571,118,116,120,111,123,3.76770440960768,14,"control"
24,270,1,94.4037037037037,94,91,97.75,86.45,104.55,5.38378271692951,14,"control"
25,300,1,135.576666666667,136,133,138,129,142,4.09226232361839,14,"control"
1,176,2,124.920454545455,125,122,128,116.75,132.25,5.27250895204083,14,"control"
2,516,2,106.443798449612,107,104,109,99.75,113,4.13307054690654,14,"control"
3,588,2,137.904761904762,138,136,140,133,143,3.22592423444549,14,"control"
4,38,2,113.026315789474,112,109,117,104.4,128.6,7.430713625128,14,"control"
6,334,2,95.7874251497006,95,92,99,88,105,5.82835236135688,14,"control"
7,600,2,132.348333333333,132,130,135,125,140,4.35376342744901,14,"control"
8,530,2,116.133962264151,117,114,119,108,123,4.50110019721188,14,"control"
9,302,2,145.576158940397,145,143,148,139,153.95,4.38956340936318,14,"control"
10,24,2,147.5,148,146,149.5,141.15,152.85,4.0432445000218,14,"control"
