"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,9,"midskew"
2,150,-1,0,0,0,0,0,0,0,9,"midskew"
3,150,-1,0,0,0,0,0,0,0,9,"midskew"
4,150,-1,0,0,0,0,0,0,0,9,"midskew"
5,150,-1,0,0,0,0,0,0,0,9,"midskew"
6,150,-1,0,0,0,0,0,0,0,9,"midskew"
7,150,-1,0,0,0,0,0,0,0,9,"midskew"
8,150,-1,0,0,0,0,0,0,0,9,"midskew"
9,150,-1,0,0,0,0,0,0,0,9,"midskew"
10,150,-1,0,0,0,0,0,0,0,9,"midskew"
11,150,-1,0,0,0,0,0,0,0,9,"midskew"
12,150,-1,0,0,0,0,0,0,0,9,"midskew"
13,150,-1,0,0,0,0,0,0,0,9,"midskew"
14,150,-1,0,0,0,0,0,0,0,9,"midskew"
15,150,-1,0,0,0,0,0,0,0,9,"midskew"
16,150,-1,0,0,0,0,0,0,0,9,"midskew"
17,150,-1,0,0,0,0,0,0,0,9,"midskew"
18,150,-1,0,0,0,0,0,0,0,9,"midskew"
19,150,-1,0,0,0,0,0,0,0,9,"midskew"
20,150,-1,0,0,0,0,0,0,0,9,"midskew"
1,69,0,107.086956521739,106,104,111,99.4,115,4.80422341901858,9,"midskew"
2,77,0,121.727272727273,122,119,124,115.8,129.2,4.10595319927555,9,"midskew"
3,69,0,147.521739130435,147,145,149,140.4,155.6,4.41790706254661,9,"midskew"
4,57,0,101,101,99,103,94.8,106.2,3.64495737776374,9,"midskew"
5,68,0,139.205882352941,138,133,145,128,150.65,7.76244080618556,9,"midskew"
6,76,0,125.473684210526,125,123,128.25,117.75,132.5,4.58540782398695,9,"midskew"
7,62,0,127.951612903226,129,126,130.75,119.05,134,4.63920364617145,9,"midskew"
8,65,0,149.323076923077,149,147,152,143,157.6,4.22458464048424,9,"midskew"
9,64,0,124.4375,124,122,126,119,130.85,3.9515920038738,9,"midskew"
10,65,0,108.830769230769,109,106,111,101.2,116,5.53276951097174,9,"midskew"
11,71,0,129.647887323944,129,127,132.5,123,137,4.25306139000165,9,"midskew"
12,74,0,92.3918918918919,92,90,94.75,87.65,98,3.19596306820933,9,"midskew"
13,65,0,116.738461538462,117,113,120,108.2,127,7.22901472167223,9,"midskew"
14,64,0,141.34375,141,138,144,134.15,150.85,5.07786591219404,9,"midskew"
15,65,0,144.230769230769,145,142,147,138.2,151.8,5.49934436651665,9,"midskew"
16,65,0,108.876923076923,109,106,111,102.2,115,3.86695815656381,9,"midskew"
17,72,0,111.736111111111,112,109,116,102,118.45,4.89608367654824,9,"midskew"
18,60,0,111.466666666667,111,109,113.25,105,117.2,4.54531484120184,9,"midskew"
19,70,0,113.557142857143,113,111,115.75,108,120,3.68952969897058,9,"midskew"
20,68,0,95.2941176470588,95,93,100,85.35,102,5.06983712396804,9,"midskew"
1,119,1,106.983193277311,107,103,111,98,116,5.26095820568728,9,"midskew"
2,86,1,121.186046511628,121,118,124,116,128,4.1798160046951,9,"midskew"
3,36,1,146.25,146,144,148.25,141,153,3.87206109751088,9,"midskew"
4,88,1,101.897727272727,102,99.75,104,96,107.65,3.9188309678589,9,"midskew"
5,54,1,136.907407407407,137,132.25,141,126.65,148.35,6.8742574721312,9,"midskew"
6,116,1,126.310344827586,125.5,123,128,117.75,137,5.93209955222022,9,"midskew"
7,85,1,129.188235294118,129,126,132,121.2,136,5.08146519376116,9,"midskew"
8,13,1,153.153846153846,151,150,158,147.2,161.2,5.35173108825786,9,"midskew"
9,106,1,125.716981132075,125.5,123,127,120.25,132,3.55033121722771,9,"midskew"
10,103,1,109.776699029126,110,107,113,102.1,117.9,4.98021977394208,9,"midskew"
11,53,1,129.245283018868,129,127,133,121.8,139.4,6.12028675917344,9,"midskew"
12,100,1,91.55,91,89.75,93,86,98.1,3.44766060341844,9,"midskew"
13,132,1,116.689393939394,116,113,120,108,125.9,6.15466381314101,9,"midskew"
14,35,1,141.914285714286,141,137.5,144.5,135.7,153.6,5.94272381880183,9,"midskew"
15,69,1,144.623188405797,145,142,147,138.4,152,4.28094770044919,9,"midskew"
16,50,1,109.96,110,109,112,101.9,116.1,4.35168276154672,9,"midskew"
17,81,1,112.444444444444,112,110,115,106,120,4.1803109932157,9,"midskew"
18,44,1,112.727272727273,111.5,110,114.25,106.15,122.7,5.24898057151759,9,"midskew"
19,65,1,114.415384615385,114,113,116,108.2,119,3.39527386456301,9,"midskew"
20,108,1,96.3148148148148,96.5,94,99,90,103,4.71158474470188,9,"midskew"
1,155,2,108.258064516129,108,105,111,100,118.3,5.48769427331453,9,"midskew"
2,101,2,122.504950495049,122,119,125,115,132,4.49805238381288,9,"midskew"
3,20,2,147.8,148,146.5,150.25,140.95,154,4.07301776134238,9,"midskew"
4,75,2,101.72,102,100,104,96,108.3,4.18994936433314,9,"midskew"
5,25,2,138.6,139,137,142,129.4,145.8,5.3619026473818,9,"midskew"
6,160,2,126.55,126,123,129,119,135.05,5.02797207079097,9,"midskew"
7,113,2,128.849557522124,128,126,131,123.2,137,4.53797712748842,9,"midskew"
8,1,2,147,147,147,147,147,147,NA,9,"midskew"
